region,year,n
Albania,1960,1608800
Andorra,1960,13411
Austria,1960,7047539
Belgium,1960,9153489
Bulgaria,1960,7867374
Bosnia and Herzegovina,1960,3225668
Switzerland,1960,5327827
Cyprus,1960,572930
Czech Republic,1960,9602006
Germany,1960,72814900
Denmark,1960,4579603
Spain,1960,30455000
Estonia,1960,1211537
Finland,1960,4429634
France,1960,46621669
United Kingdom,1960,52400000
Gibraltar,1960,23420
Greece,1960,8331725
Croatia,1960,4140181
Hungary,1960,9983967
Ireland,1960,2828600
Iceland,1960,175574
Italy,1960,50199700
Liechtenstein,1960,16493
Lithuania,1960,2778550
Luxembourg,1960,313970
Latvia,1960,2120979
Monaco,1960,22452
Moldova,1960,2544000
North Macedonia,1960,1488667
Malta,1960,326550
Montenegro,1960,480579
Netherlands,1960,11486631
Norway,1960,3581239
Poland,1960,29637450
Portugal,1960,8857716
Romania,1960,18406905
Slovak Republic,1960,4068095
Slovenia,1960,1584720
Sweden,1960,7484656
Ukraine,1960,42664652
Uruguay,1960,2538643
Kosovo,1960,947000
Albania,1961,1659800
Andorra,1961,14375
Austria,1961,7086299
Belgium,1961,9183948
Bulgaria,1961,7943118
Bosnia and Herzegovina,1961,3288603
Switzerland,1961,5434294
Cyprus,1961,576395
Czech Republic,1961,9586651
Germany,1961,73377632
Denmark,1961,4611687
Spain,1961,30739250
Estonia,1961,1225077
Finland,1961,4461005
France,1961,47240543
United Kingdom,1961,52800000
Gibraltar,1961,23813
Greece,1961,8398050
Croatia,1961,4167292
Hungary,1961,10029321
Ireland,1961,2824400
Iceland,1961,179029
Italy,1961,50536350
Liechtenstein,1961,16893
Lithuania,1961,2823550
Luxembourg,1961,316845
Latvia,1961,2152681
Monaco,1961,22808
Moldova,1961,2605000
North Macedonia,1961,1507654
Malta,1961,325250
Montenegro,1961,491140
Netherlands,1961,11638712
Norway,1961,3609800
Poland,1961,29964000
Portugal,1961,8929316
Romania,1961,18555250
Slovak Republic,1961,4191667
Slovenia,1961,1594131
Sweden,1961,7519998
Ukraine,1961,43206345
Uruguay,1961,2571681
Kosovo,1961,966000
Albania,1962,1711319
Andorra,1962,15370
Austria,1962,7129864
Belgium,1962,9220578
Bulgaria,1962,8012946
Bosnia and Herzegovina,1962,3353226
Switzerland,1962,5573815
Cyprus,1962,577691
Czech Republic,1962,9624660
Germany,1962,74025784
Denmark,1962,4647727
Spain,1962,31023366
Estonia,1962,1241623
